price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source,nearest_station,station_city,station_lat,station_lon,annual_aqi,dist_to_station_km
13000000.0,"Gurgaon, Delhi NCR",1190.0,28.4096109,76.9141943,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Individual House,10924.0,Gurgaon,new,Vikas Sadan,Gurgaon,28.45,77.026,177.78,11.82
10500000.0,"New Delhi, Delhi NCR",1100.0,28.624575,77.10898,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,9545.0,New Delhi,new,Pusa DPCC,New Delhi,28.6381,77.1497,201.17,4.25
8500000.0,"Greater Noida, Delhi NCR",1055.0,28.6206166331965,77.4258436422604,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,8057.0,Greater Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.21
10000000.0,"Greater Noida, Delhi NCR",1360.0,28.615887848111,77.4262748642862,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,7353.0,Greater Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.34
23000000.0,"New Delhi, Delhi NCR",1200.0,28.714832,77.123697,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,19167.0,New Delhi,new,Rohini,New Delhi,28.7041,77.1172,220.66,1.35
3500000.0,"New Delhi, Delhi NCR",560.0,28.715589,77.1575034,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,6250.0,New Delhi,new,Jahangirpuri,New Delhi,28.7299,77.1664,241.76,1.81
2200000.0,"Ghaziabad, Delhi NCR",450.0,28.6832760234233,77.3699594396636,1.0,1.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,4889.0,Ghaziabad,new,Vasundhara,Ghaziabad,28.659,77.365,225.23,2.74
35000000.0,"Gurgaon, Delhi NCR",200.0,28.4777236675493,77.0914744619073,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Individual House,19444.0,Gurgaon,new,Aya Nagar,New Delhi,28.4725,77.1097,186.49,1.87
17500000.0,"Noida, Delhi NCR",1100.0,28.5224400451908,77.3886152696714,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,15909.0,Noida,new,Sector 125 Noida,Noida,28.5448,77.329,202.65,6.33
25000000.0,"New Delhi, Delhi NCR",150.0,28.6435860919558,77.1335964254084,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,18519.0,New Delhi,new,Pusa DPCC,New Delhi,28.6381,77.1497,201.17,1.69
